"station_id","name","capacity","num_bikes_available","num_docks_available","last_reported","lat","lon","is_installed","is_renting","is_returning","capture_timestamp"
7246,"Yonge St / Bloor St",19,2,14,1751943825,43.669969,-79.386532,1,1,1,2025-07-07 23:03:34
7247,"Howard Park Ave / Dundas St W - SMART",12,1,10,1751943817,43.6521,-79.4486,1,1,1,2025-07-07 23:03:34
7248,"Baldwin St / Spadina Ave - SMART",20,3,13,1751943758,43.654905,-79.398448,1,1,1,2025-07-07 23:03:34
7249,"144 Harrison St",51,39,2,1751943782,43.651145,-79.423742,1,1,1,2025-07-07 23:03:34
7250,"Ursula Franklin St / St. George St - SMART",16,0,15,1751943806,43.660296,-79.397107,1,1,1,2025-07-07 23:03:34
7252,"Robert St / Bloor St W - SMART",18,6,12,1751943743,43.665846,-79.404998,1,1,1,2025-07-07 23:03:34
7253,"John St  / Mercer St - SMART",12,7,1,1751943704,43.6461,-79.3895,1,1,1,2025-07-07 23:03:34
7256,"Vanauley St / Queen St W - SMART",12,3,9,1751943863,43.648437,-79.39838,1,1,1,2025-07-07 23:03:34
7257,"Dundas St W / St. Patrick St",19,1,14,1751943829,43.6545174,-79.3895315,1,1,1,2025-07-07 23:03:34
7258,"Queen St E / Rushbrooke Ave",15,11,3,1751943794,43.6626628,-79.3323698,1,1,1,2025-07-07 23:03:34
7259,"Lower Spadina Ave / Lake Shore Blvd W",19,6,11,1751943869,43.638497,-79.39192,1,1,1,2025-07-07 23:03:34
7260,"Spadina Ave / Adelaide St W",15,10,3,1751943787,43.6472019,-79.3953394,1,1,1,2025-07-07 23:03:34
7261,"Queens Quay E / Lower Sherbourne St",24,20,2,1751943749,43.645215,-79.364898,1,1,1,2025-07-07 23:03:34
7262,"Wychwood Ave / Benson Ave - SMART",16,0,16,1751943804,43.6809164,-79.4229684,1,1,1,2025-07-07 23:03:34
7264,"Bloor St E / Huntley St - SMART",20,6,12,1751943816,43.671535,-79.379173,1,1,1,2025-07-07 23:03:34
7265,"Wallace Ave / Symington Ave - SMART",12,3,9,1751943780,43.661324,-79.449534,1,1,1,2025-07-07 23:03:34
7266,"Victoria Park Subway Station - SMART",12,4,8,1751943831,43.6951015219883,-79.289703032016,1,1,1,2025-07-07 23:03:34
7267,"Dundas St E / Pembroke St ",15,7,6,1751943756,43.658295,-79.372346,1,1,1,2025-07-07 23:03:34
7268,"111 Bond St (North of Dundas St E)  - SMART",16,0,16,1751943836,43.656927,-79.378497,1,1,1,2025-07-07 23:03:34
7269,"Toronto Eaton Centre (Yonge St) - SMART",20,0,18,1751943792,43.655431,-79.380653,1,1,1,2025-07-07 23:03:34
